,Job Names,Company Name,Post Time,Location,Job Type,Exp Level,Years Of Exp,Job Skills
3195,Call Center agent,Hope at home healthcare ,15 days ago,"Southfield, United States ",Full TimeWork From Home,Experienced,1 - 2 Yrs of Exp,Customer Service/Support Operations/Management Medical/Healthcare Call Center Customer Service Negotiation Communication
3196,Heavy Equipment Maintenance Engineer,Sky logistics ,15 days ago,"Sharq, Port Said, Egypt ",Full Time,Experienced,3 - 6 Yrs of Exp,Engineering - Mechanical/Electrical Heavy Equipment Maintenance equipment Mechanical Engineering Mechanical Hydraulic diesel sennebogen
3197,Legal Affairs Coordinator,Zeina Group ,15 days ago,"Sheikh Zayed, Giza, Egypt ",Full Time,Entry Level,1 - 3 Yrs of Exp,females_only Administration Legal Analyst/Research Administration Law Legal Affairs Microsoft Office Microsoft Excel Presentations Filing
3198,Senior Backend Developer{ .NET Core},RTR Software Solutions  ,15 days ago,"Nasr City, Cairo, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,IT/Software Development .Net Microsoft SQL Server Azure Git SQL Software Development Agile Computer Science
3199,Senior Front End Angular,RTR Software Solutions  ,15 days ago,"Nasr City, Cairo, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,IT/Software Development Angular Design Front-End Development JavaScript HTML5 Sass Agile Web Development
3200,Steel Structural Engineer,SHAWAHID ROADS INDUSTRIAL COMPANY  ,15 days ago,"Cairo, Egypt ",Full Time,Experienced,5 - 7 Yrs of Exp,Engineering - Construction/Civil/Architecture Creative/Design/Art Engineering - Mechanical/Electrical Civil Engineering Design Steel structural Engineering
3201,Social Media Assistant,Creative Education International (CrEd) ,15 days ago,"Cairo, Egypt ",Part TimeWork From Home,Student,1+ Yrs of Exp,Marketing/PR/Advertising Online Marketing Social Media Design Communication Editing Marketing
3202,Customer service,Mico World Limited ,15 days ago,"Maadi, Cairo, Egypt ",Full Time,Entry Level,1 - 3 Yrs of Exp,Customer Service/Support Customer Support English Customer Service Customer Care Web Chat Chat Support live streaming Mico Bigo
3203,Procurement Manager,Confidential ,15 days ago,"Heliopolis, Cairo, Egypt ",Full Time,Manager,7 - 10 Yrs of Exp,males_only Logistics/Supply Chain Operations/Management Purchasing/Procurement Procurement Supply Supply Chain Purchasing Management
3204,Software Tele-sales,DIRAC SYSTEMS ,15 days ago,"Heliopolis, Cairo, Egypt ",Full Time,Experienced,2 - 5 Yrs of Exp,Customer Service/Support IT/Software Development B2B B2B Sales Computer Skills English Information Technology (IT) Sales Software
3205,Surveyor - New Alamein,New Generation Developments ,15 days ago,"Alamein, Matruh, Egypt ",Full Time,Experienced,1 - 4 Yrs of Exp,males_only Engineering - Construction/Civil/Architecture Engineering - Other Geography gps total station Engineering Civil Engineering AutoCAD Communication skills survey
3206,Purchasing Specialist,SE Wiring Systems EGYPT ,15 days ago,"6th of October, Giza, Egypt ",Full Time,Entry Level,0 - 1 Yrs of Exp,Logistics/Supply Chain Purchasing/Procurement Supply Chain Logistics Management MS Office Purchasing Skills Procurement Finance
3207,Technical Sales Engineer (Oil & Gas Services),Confidential ,15 days ago,"New Cairo, Cairo, Egypt ",Full Time,Entry Level,1 - 3 Yrs of Exp,Engineering - Construction/Civil/Architecture Sales/Retail Engineering - Oil & Gas/Energy OIL & GAS Sales Petroleum Engineering Sales engineer sales skills Communication skills
3208,Software sales representative,DIRAC SYSTEMS ,15 days ago,"Heliopolis, Cairo, Egypt ",Full Time,Experienced,2 - 4 Yrs of Exp,Business Development IT/Software Development B2B English Negotiation Sales sales skills Software
3209,Real Estate Sales Manager,Eight Developments ,15 days ago,"New Cairo, Cairo, Egypt ",Full Time,Manager,4+ Yrs of Exp,Customer Service/Support Operations/Management Sales/Retail sales manager Real Estate New Capital New Cairo Real Estate Sales Sales sales skills
3210,Sales Supervisor,idaco ,15 days ago,"6th of October, Giza, Egypt ",Full Time,Manager,4 - 10 Yrs of Exp,males_only Operations/Management Sales/Retail Customer Service sales skills Sales Sales Target English Operations Management
3211,General Accountant,Units for Real Estate ,15 days ago,"Sheikh Zayed, Giza, Egypt ",Full Time,Experienced,5 - 10 Yrs of Exp,males_preferred Accounting/Finance Accounting Accounting Software CPA CMA excel Finance Financial Analysis Financial Management GAAP
3212,Sales Representative,Tannourine Egypt ,15 days ago,"Attarin, Alexandria, Egypt ",Full Time,Experienced,3 - 6 Yrs of Exp,Sales/Retail Sales sales representive FMCG sales skills Sales Target
3213,Senior Graphic & Motion Designer,Capital Link Developments ,15 days ago,"Heliopolis, Cairo, Egypt ",Full Time,Experienced,4 - 6 Yrs of Exp,Creative/Design/Art Adobe Illustrator Adobe Indesign Adobe Premiere Adobe After Effects Final Cut Graphic Design Motion Animation Video Editing
3214,Graphic Designer,Shoura Chemicals  ,15 days ago,"6th of October, Giza, Egypt ",Full Time,Experienced,2+ Yrs of Exp,Creative/Design/Art Marketing/PR/Advertising Media/Journalism/Publishing Marketing Social Media English Communication Graphic Design Design Adobe Photoshop
3215,Social Media Graphic Designer & Video Editor,Green Line For Glass Metal Architecture ,15 days ago,"Nasr City, Cairo, Egypt ",Full Time,Experienced,1 - 3 Yrs of Exp,Creative/Design/Art Marketing/PR/Advertising Media/Journalism/Publishing Adobe Premiere Adobe Photoshop After Effects Graphic Design Graphic Design Social Media
3216,HR Advisor,property Advisors Egypt ,15 days ago,"Maadi, Cairo, Egypt ",Full TimePart Time,Experienced,7 - 12 Yrs of Exp,Human Resources HR Human Resources (HR)
3217,Business Development Representative,SHAWAHID ROADS INDUSTRIAL COMPANY  ,15 days ago,"Riyadh, Saudi Arabia ",Full Time,Experienced,1 - 3 Yrs of Exp,females_only Engineering - Construction/Civil/Architecture Business Development Sales/Retail business Business Development sales skills Social Media Marketing Development
3218,Key Account Manager,PetroApp ,15 days ago,"Maadi, Cairo, Egypt ",Full Time,Experienced,2 - 3 Yrs of Exp,females_preferred Business Development Sales/Retail Business Administration Communication Sales sales skills Sales Target Key Account IT business
3219,Finance Manager,Confidential ,15 days ago,"Maadi, Cairo, Egypt ",Full Time,Experienced,6 - 12 Yrs of Exp,Accounting/Finance Finance Accounting
3220,Telesales Specialist,PetroApp ,15 days ago,"Maadi, Cairo, Egypt ",Full Time,Experienced,2 - 4 Yrs of Exp,females_only Customer Service/Support Sales/Retail B2B Communication Sales Specialist Sales Target Negotiation Communication skills sales skills Tele-sales
3221,Mobile Maintenance Specialist,Sky Distribution ,15 days ago,"Maadi, Cairo, Egypt ",Full Time,Experienced,1 - 3 Yrs of Exp,Installation/Maintenance/Repair IT/Software Development Engineering - Telecom/Technology Mobile Maintenance Installation Maintenance Engineering
3222,Oracle Application Techno Functional Consultant,Confidential ,15 days ago,"Maadi, Cairo, Egypt ",Full TimeWork From Home,Experienced,5 - 15 Yrs of Exp,IT/Software Development Engineering - Telecom/Technology Oracle HCM Computer Science English ERP HCM Implementation Oracle Information Technology (IT)
3223,Quality Control Manager,Confidential ,15 days ago,"Ain Sokhna, Suez, Egypt ",Full Time,Manager,10 - 15 Yrs of Exp,Quality Quality Control quality Engineering Factory
3224,Receptionist,Manhattan Schools ,15 days ago,"Maadi, Cairo, Egypt ",Full Time,Experienced,3 - 4 Yrs of Exp,Administration Customer Service/Support Reception Administration
3225,Onboarding Associate - POS,InstaShop ,15 days ago,"Cairo, Egypt ",Full TimeFreelance / Project,Experienced,1 - 5 Yrs of Exp,IT/Software Development Onboarding Customer Service Troubleshooting
3226,Maintenance Manager,Confidential ,15 days ago,"Ain Sokhna, Suez, Egypt ",Full Time,Manager,12 - 15 Yrs of Exp,males_only Installation/Maintenance/Repair Operations/Management Engineering - Mechanical/Electrical Maintenance Factory Mechanical Engineering
3227,Digital Creator (Accounts & Content),Bee Interactive Ltd. ,15 days ago,"Zamalek, Cairo, Egypt ",Full Time,Entry Level,1 - 4 Yrs of Exp,Marketing/PR/Advertising Digital Marketing Social Media Marketing Content Creation Content Marketing
3228,Marketing Specialist,Confidential ,15 days ago,"10th of Ramadan City, Sharqia, Egypt ",Full Time,Experienced,1 - 3 Yrs of Exp,females_only Marketing/PR/Advertising Media/Journalism/Publishing English Communication skills Digital Marketing Marketing E-Marketing media Skills Social Media
3229,Senior Accountant,Confidential ,15 days ago,"10th of Ramadan City, Sharqia, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,males_only Accounting/Finance Administration Banking Accounting Accounting Software Bookkeeping Computer Skills Finance Financial Analysis MS Office
3230,Business Development Specialist (Recruitment Agency),Outservingplus ,15 days ago,"Mohandessin, Giza, Egypt ",Full Time,Experienced,2 - 3 Yrs of Exp,Business Development Business Development Experience Marketing Sales sales skills TO is
3231,Sales specialist B2B,Confidential ,15 days ago,"10th of Ramadan City, Sharqia, Egypt ",Full Time,Experienced,1 - 3 Yrs of Exp,Business Development Customer Service/Support Sales/Retail B2B B2B Sales Communication Negotiation negotiation skills Sales sales skills
3232,Compliance Officer,Aman ,15 days ago,"Maadi, Cairo, Egypt ",Full Time,Experienced,1 - 3 Yrs of Exp,Accounting/Finance Administration Quality Accounting Administration Anti-money laundering Risk Business Administration Compliance Compliance Officer
3233,Office Assistant - Giza,Confidential ,15 days ago,"6th of October, Giza, Egypt ",Full Time,Entry Level,1 - 3 Yrs of Exp,Administration Customer Service/Support Microsoft Office Office Management Secretary Administration Admin Admin Assist Skills Time Management
3234,Stock Controller,Chema Foam ,15 days ago,"10th of Ramadan City, Sharqia, Egypt ",Full Time,Experienced,2 - 5 Yrs of Exp,Accounting/Finance Logistics/Supply Chain Accounting excel Stock Control inventory Inventory Audits Inventory Management Manufacturing Stock
3235,Production Engineer,Confidential ,15 days ago,"10th of Ramadan City, Sharqia, Egypt ",Full Time,Entry Level,1 - 3 Yrs of Exp,Manufacturing/Production Engineering - Mechanical/Electrical Engineering - Other Communication skills Engineering Mechanical Engineering Manufacturing Production Skills Mechanical
3236,Sr. GL Accountant / Cost Accounting,Confidential ,15 days ago,"Mohandessin, Giza, Egypt ",Full Time,Experienced,4 - 7 Yrs of Exp,Accounting/Finance Accounting Communication skills English CPA CMA Finance Financial Analysis Manufacturing Microsoft Office
3237,English Teacher,Confidential ,15 days ago,"Mokattam, Cairo, Egypt ",Full TimeShift Based,Experienced,1 - 20 Yrs of Exp,Education/Teaching Training/Instructor English Education English Teacher English Teaching Teaching Teacher
3238,IT Supervisor,Confidential ,15 days ago,"Nasr City, Cairo, Egypt ",Full Time,Manager,3 - 5 Yrs of Exp,IT/Software Development Engineering - Telecom/Technology Engineering Computer Engineering CCNP Computer Science ERP Information Technology (IT) Network Administration CCNA
3239,Visa Consultant,Booking Vip Club  ,15 days ago,"Heliopolis, Cairo, Egypt ",Full Time,Experienced,1 - 7 Yrs of Exp,Tourism/Travel Travel Tourism visa Immigration
3240,junior Treasury and banking accountant,Horizon Chemical for Special Chemicals  ,15 days ago,"Stanley, Alexandria, Egypt ",Full Time,Entry Level,1 - 2 Yrs of Exp,Accounting/Finance Logistics/Supply Chain Sales/Retail accountant Accounting Bank Accountant Finance excel Treasury Banking
3241,Secretary,wise intranational ,15 days ago,"Giza, Egypt ",Full Time,Entry Level,1 - 3 Yrs of Exp,Administration Secretary Administration
3242,Business Development and Marketing Specialist for Domestic and International Market,Confidential ,15 days ago,"New Cairo, Cairo, Egypt ",Full Time,Entry Level,0 - 1 Yrs of Exp,Business Development Customer Service/Support Marketing/PR/Advertising hdpe Sales Target prospeting odoo user Manufacturing Industry plastic industry English Education
3243,Enterprise Architect,Algoriza ,15 days ago,"Giza, Egypt ",Full Time,Experienced,5 - 8 Yrs of Exp,IT/Software Development Enterprise architect Software Engineering
3244,.NET Developer,Integrated Technology Group ,15 days ago,"Heliopolis, Cairo, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,IT/Software Development .Net ASP.Net JavaScript jQuery REST Software Development Web Development MVC
3245,IT Help Desk Specialist,Spinneys Egypt ,15 days ago,"6th of October, Giza, Egypt ",Full Time,Entry Level,1+ Yrs of Exp,Installation/Maintenance/Repair IT/Software Development Engineering - Telecom/Technology computer Computer Science Help desk Information Technology (IT) Installation Science IT
3246,Senior Oracle developer,Algoriza ,15 days ago,"Giza, Egypt ",Full Time,Experienced,5+ Yrs of Exp,IT/Software Development Engineering - Telecom/Technology Computer Science Design Development Database Information Technology (IT) Oracle oracle developer PL/SQL
3247,Physical Security Supervisor,Majorel Egypt ,15 days ago,"Alexandria, Egypt ",Full Time,Experienced,3 - 8 Yrs of Exp,Administration Communication Physical security Computer Science Security Management English Management Safety Security
3248,Senior Quality Assurance Engineer,Algoriza ,15 days ago,"Cairo, Egypt ",Full Time,Experienced,5+ Yrs of Exp,IT/Software Development Quality Engineering - Telecom/Technology Agile Quality Assurance SQL Software Testing Automation Software Development Computer Science
3249,Compensations & Benefits Supervisor,Confidential ,15 days ago,"Sheraton, Cairo, Egypt ",Full Time,Experienced,5 - 7 Yrs of Exp,Human Resources Compensation &amp; Benefits Compensation Benefits Human Resources (HR) Human Resources Payroll
3250,Senior System Analyst,Algoriza ,15 days ago,"Giza, Egypt ",Full Time,Experienced,6 - 8 Yrs of Exp,IT/Software Development System Analysis Azure
3251,Senior Dot net developer,Algoriza ,15 days ago,"Giza, Egypt ",Full Time,Experienced,4+ Yrs of Exp,IT/Software Development Engineering - Telecom/Technology .Net Angular Computer Science CSS3 Design HTML5 Information Technology (IT) React
